EQUIPMENT,SECONDARY EQUIPMENT,EXERCISE,DIFFICULTY,BODY PART,SECONDARY BODY PART,EMOM,REPS,INSTRUCTIONS
Kettlebell,Step,Bulgarian Split Squat,Advanced,Lower,Core,TRUE,5 per side,"Hold a kettlebell at your chest in a goblet grip with your rear foot elevated on a step. Lower into a deep lunge, then drive up through the front heel."
Kettlebell,,Clean,Intermediate,Full Body,Core,TRUE,5 per side,"Swing the kettlebell between your legs, then explosively drive your hips forward to pull it up and rotate it into the rack position at your shoulder. Lower and repeat."
Kettlebell,,Goblet Squat,Easy,Full Body,Core,TRUE,10,"Hold the kettlebell at chest height by the horns. Squat deep with elbows tracking inside the knees, then stand tall."
Kettlebell,,Gorilla Rows,Intermediate,Upper,Core,TRUE,5 per side,"In a wide-stance hinge with two kettlebells on the floor, row one up to your hip while bracing through the other arm, then switch sides."
Kettlebell,,Half-Kneeling Reverse Woodchop,Intermediate,Core,Upper,TRUE,5 per side,"Kneel on one knee with the kettlebell held low to the front-leg side. Drive it diagonally across your body from low to high, rotating your torso. The kneeling position locks the hips and isolates the rotation."
Kettlebell,,Halo,Easy,Core,Upper,TRUE,5 per side,"Hold the kettlebell by the horns at chest height. Circle it around your head, keeping your core tight and elbows close. Reverse direction each set."
Kettlebell,,Hip Thrusts,Intermediate,Lower,Core,TRUE,10,"Upper back against a bench, place the kettlebell on your hips. Drive hips up to full extension, squeeze your glutes at the top, then lower."
Kettlebell,,KB Swing,Intermediate,Full Body,Core,TRUE,10,"Hinge at the hips and swing the kettlebell between your legs, then snap your hips forward to drive it to chest height. Arms stay relaxed — the power comes from the hips."
Kettlebell,,Kickstand RDL,Easy,Lower,Core,TRUE,5 per side,"Stagger one foot behind on its toes for balance. Hinge at the hips, lowering the kettlebell down the front leg, then squeeze your glutes to return to standing."
Kettlebell,,Kneeling Halo,Intermediate,Core,Upper,TRUE,5 per side,"Kneel on both knees holding the kettlebell by the horns. Circle it around your head with control. The reduced base of support increases core demand."
Kettlebell,,Kneeling Overhead Press,Intermediate,Upper,Core,TRUE,5 per side,"Kneel on both knees and clean the kettlebell to the rack position. Press overhead to lockout without leaning back. The kneeling position removes leg drive and demands strict core bracing."
Kettlebell,,Lateral Lunges,Easy,Lower,,TRUE,5 per side,"Hold the kettlebell at your chest. Step wide to one side, sit your hips back into a lateral lunge, then push back to centre."
Kettlebell,,Lunges,Easy,Lower,,TRUE,5 per side,"Hold the kettlebell at your chest or by your side. Step into a lunge, lower your back knee toward the floor, then drive back up. Alternate legs."
Kettlebell,,Overhead Press,Easy,Upper,Core,TRUE,5 per side,"Clean the kettlebell to the rack position at your shoulder. Press it overhead to full lockout, then lower with control. Repeat on each side."
Kettlebell,,Pullovers,Easy,Upper,Core,TRUE,10,"Lie on a bench holding the kettlebell overhead with both hands. Lower it behind your head with a slight bend in your elbows, then pull it back over your chest."
Kettlebell,,Reverse Woodchop,Intermediate,Core,Upper,TRUE,5 per side,"Hold the kettlebell with both hands low to one side. Drive it diagonally upward across your body, rotating your torso and hips. Lower with control and repeat."
Kettlebell,,Round The Worlds,Intermediate,Core,,TRUE,5 per side,"Hold the kettlebell by the handle and pass it around your body at waist height, switching hands behind your back and in front. Reverse direction each set."
Kettlebell,,Russian Twists,Intermediate,Core,,TRUE,5 per side,"Sit with knees bent holding the kettlebell at your chest. Lean back slightly and rotate side to side, tapping the weight beside each hip."
Kettlebell,,Single Leg RDL,Intermediate,Lower,Core,TRUE,5 per side,"Stand on one leg holding the kettlebell. Hinge at the hips, lowering the weight toward the floor while extending the free leg behind you. Return to standing."
Kettlebell,,Snatch,Advanced,Full Body,Core,TRUE,5 per side,"Swing the kettlebell between your legs, then in one fluid motion drive it overhead by punching your hand through at the top. Lock out your arm and lower with control."
Kettlebell,,Squat,Easy,Lower,Core,TRUE,10,"Hold the kettlebell in a goblet or racked position. Squat to depth with chest up, then drive up through your heels."
Kettlebell,,Thruster,Intermediate,Full Body,Core,TRUE,5 per side,"From a front rack position at your shoulder, squat down, then drive up explosively and press the kettlebell overhead in one fluid movement."
Kettlebell,,Tricep Extensions,Easy,Upper,,TRUE,10,"Hold the kettlebell behind your head with both hands on the horns. Extend your arms to press it overhead, keeping elbows close to your ears."
Kettlebell,,Turkish Get Up,Advanced,Full Body,Core,FALSE,,"Lie on your back holding the kettlebell with one arm locked out overhead. Stand up through a controlled sequence of positions while keeping the weight stable, then reverse."
Kettlebell,,Windmill,Advanced,Core,Lower,TRUE,5 per side,"Press the kettlebell overhead with one arm locked out. Slowly hinge and rotate to reach your free hand toward the floor, keeping eyes on the weight, then return to standing."
Dumbbell,,Bent Over Row,Intermediate,Upper,Core,TRUE,10,"Hinge forward at the hips holding a dumbbell in each hand. Pull them toward your hips with elbows close to your body, squeeze your shoulder blades, then lower."
Dumbbell,,Bicep Curls,Easy,Upper,,TRUE,10,"Hold dumbbells at your sides with palms forward. Curl them toward your shoulders keeping elbows pinned, then lower with a controlled tempo."
Dumbbell,Step,Bulgarian Split Squat,Advanced,Lower,Core,TRUE,5 per side,"Hold dumbbells at your sides with your rear foot elevated on a step. Lower into a deep lunge, then drive up through the front heel."
Dumbbell,,Dead Bugs,Intermediate,Core,,TRUE,5 per side,"Lie on your back holding a dumbbell overhead in one hand. Perform the dead bug movement, lowering the weighted arm and opposite leg toward the floor."
Dumbbell,,Floor Touch to Press,Advanced,Full Body,Core,TRUE,10,"Hold dumbbells and hinge to touch them to the floor in front of you, then stand up and press them overhead in one fluid movement."
Dumbbell,,Goblet Squat,Easy,Full Body,Core,TRUE,10,"Hold one dumbbell vertically at chest height with both hands. Squat deep with elbows inside the knees, then stand tall."
Dumbbell,,Gorilla Rows,Intermediate,Upper,Core,TRUE,5 per side,"In a wide-stance hinge with dumbbells on the floor, row one up to your hip while bracing through the other arm, then switch sides."
Dumbbell,,Half-Kneeling Reverse Woodchop,Intermediate,Core,Upper,TRUE,5 per side,"Kneel on one knee holding a dumbbell low to the front-leg side. Drive it diagonally across your body from low to high, rotating your torso. The kneeling position isolates the rotational core."
Dumbbell,,Hip Thrusts,Intermediate,Lower,Core,TRUE,10,"Upper back against a bench with a dumbbell resting on your hips. Drive hips up to full extension, squeeze glutes at the top, then lower."
Dumbbell,,Kickstand RDL,Easy,Lower,Core,TRUE,5 per side,"Stagger one foot behind on its toes for balance. Hold a dumbbell and hinge at the hips to lower it down the front leg, then stand by squeezing your glutes."
Dumbbell,,Kneeling Lateral Raises,Easy,Upper,,TRUE,10,"Kneel on both knees holding dumbbells at your sides. Raise them out to the sides until parallel with the floor. Kneeling eliminates momentum and hip-swing cheating."
Dumbbell,,Kneeling Overhead Press,Intermediate,Upper,Core,TRUE,10,"Kneel on both knees holding dumbbells at shoulder height. Press overhead to lockout without leaning back. Removes leg drive and forces strict core bracing."
Dumbbell,,Lateral Lunges,Easy,Lower,,TRUE,5 per side,"Hold dumbbells at your sides. Step wide to one side, sit your hips back into a lateral lunge, then push back to start."
Dumbbell,,Lateral Raises,Easy,Upper,,TRUE,10,"Hold dumbbells at your sides. Raise them out to the sides with a slight bend in the elbows until arms are parallel with the floor, then lower slowly."
Dumbbell,,Lunges,Easy,Lower,,TRUE,5 per side,"Hold dumbbells at your sides. Step forward into a lunge, dropping your back knee toward the floor, then drive back up. Alternate legs."
Dumbbell,,Overhead Press,Easy,Upper,Core,TRUE,10,"Hold dumbbells at shoulder height with palms forward. Press them overhead to full lockout, then lower with control."
Dumbbell,,Pullovers,Easy,Upper,Core,TRUE,10,"Lie on a bench holding one dumbbell overhead with both hands. Lower it behind your head with a slight elbow bend, then pull it back over your chest."
Dumbbell,,Reverse Woodchop,Intermediate,Core,Upper,TRUE,5 per side,"Hold a dumbbell with both hands low to one side. Drive it diagonally upward across your body, rotating your torso and hips. Lower with control and repeat."
Dumbbell,,Russian Twists,Intermediate,Core,,TRUE,5 per side,"Sit with knees bent holding a dumbbell. Lean back slightly and rotate side to side, tapping the weight beside each hip."
Dumbbell,,Single Leg RDL,Intermediate,Lower,Core,TRUE,5 per side,"Stand on one leg holding a dumbbell. Hinge forward at the hips, lowering the weight while extending your free leg behind you, then return to standing."
Dumbbell,,Squat,Easy,Lower,Core,TRUE,10,"Hold dumbbells at your shoulders or sides. Squat to depth with chest up, then drive back up through your heels."
Dumbbell,,T-Stand Push-ups,Advanced,Upper,Core,TRUE,5 per side,"Perform a push-up holding dumbbells, then rotate into a side plank lifting one dumbbell toward the ceiling forming a T shape. Return and repeat on the other side."
Dumbbell,,Thruster,Intermediate,Full Body,Core,TRUE,10,"Hold dumbbells at shoulder height. Squat down, then drive up explosively and press them overhead in one fluid movement."
Dumbbell,,Tricep Extensions,Easy,Upper,,TRUE,10,"Hold a dumbbell behind your head with both hands. Extend your arms to press it overhead, keeping your elbows close to your ears."
Dumbbell,,Turkish Get Up,Advanced,Full Body,Core,FALSE,,"Lie on your back holding a dumbbell overhead with one arm locked out. Stand up through a controlled sequence of positions, then reverse back down."
Slam Ball,,Goblet Squat,Easy,Full Body,Core,TRUE,10,"Hold the slam ball at chest height. Squat deep with elbows inside the knees, then stand tall."
Slam Ball,,Lateral Lunges,Easy,Lower,,TRUE,5 per side,"Hold the slam ball at your chest. Step wide to one side into a lateral lunge, then push back to centre."
Slam Ball,,Lunges,Easy,Lower,,TRUE,5 per side,"Hold the slam ball at your chest. Step into a lunge, lower your back knee, then drive back up. Alternate legs."
Slam Ball,,Russian Twists,Intermediate,Core,,TRUE,5 per side,"Sit with knees bent holding the slam ball. Lean back slightly and rotate side to side, tapping the ball beside each hip."
Slam Ball,,Slam Ball Slams,Advanced,Full Body,Core,TRUE,10,"Lift the slam ball overhead, rise onto your toes, then slam it into the ground with full force. Squat to pick it up and repeat."
Slam Ball,,Squat,Easy,Lower,Core,TRUE,10,"Hold the slam ball at your chest. Squat to depth keeping your chest up, then drive back up through your heels."
TRX,,Ab Extension,Easy,Core,Upper,TRUE,10,"Face away from the anchor holding the TRX handles with arms extended overhead. Fall forward with straight arms, then pull back to the start using your core."
TRX,,Back Row,Easy,Upper,Core,TRUE,10,"Face the anchor and lean back with arms extended, gripping the handles. Pull your chest toward the handles by squeezing your shoulder blades together, then lower."
TRX,,Bicep Curls,Easy,Upper,Core,TRUE,10,"Face the anchor and lean back with arms extended, palms facing up. Curl your hands toward your temples by bending at the elbows, then extend."
TRX,,Chest Press,Easy,Upper,Core,TRUE,10,"Face away from the anchor in a plank-like angle holding the handles. Lower your chest by bending your elbows, then press back up."
TRX,,Crunches,Intermediate,Core,,TRUE,10,"Place your feet in the TRX cradles in a plank position. Draw both knees toward your chest, then extend back to plank."
TRX,,Curtsey Lunges,Easy,Lower,Core,TRUE,5 per side,"Hold the TRX handles for balance. Step one foot behind and across the other, lowering into a curtsey lunge, then return to standing."
TRX,,Lateral Lunges,Easy,Lower,,TRUE,5 per side,"Hold the TRX handles for support. Step wide into a lateral lunge, sitting your hips back, then drive back to centre."
TRX,,Lunge,Easy,Lower,,TRUE,5 per side,"Hold the TRX handles for balance. Step back into a reverse lunge, lowering your back knee toward the floor, then drive up through the front heel."
TRX,,Pike,Advanced,Core,Upper,TRUE,10,"Place your feet in the TRX cradles in a plank position. Pike your hips up high, keeping legs straight, then lower back to plank."
TRX,,Pistol Squat,Advanced,Lower,Core,TRUE,5 per side,"Hold the TRX handles for support. Extend one leg forward and squat all the way down on the other leg, then drive back up."
TRX,,Plank,Easy,Core,Upper,FALSE,,"Place your feet in the TRX cradles and hold a forearm or high plank. Keep your body in a straight line with core braced."
TRX,,Push-ups,Intermediate,Upper,Core,TRUE,10,"Place your feet in the TRX cradles and perform push-ups. The suspended feet add instability, engaging more core."
TRX,,Squat,Easy,Lower,,TRUE,10,"Hold the TRX handles and lean back slightly, keeping tension in the straps. Squat deep, then drive up using the TRX for balance."
TRX,,Squat Jumps,Intermediate,Lower,Core,TRUE,10,"Hold the TRX handles for light support. Squat down, then explode upward into a jump. Land softly and repeat."
TRX,,Tricep Extensions,Easy,Upper,Core,TRUE,10,"Face away from the anchor with hands on the handles overhead. Fall forward, bending elbows by your ears, then extend arms to press back up."
Resistance Bands,,Bent Over Row,Intermediate,Upper,Core,TRUE,10,"Stand on the band and hinge forward at the hips. Pull the band toward your hips keeping elbows close to your body, then lower with control."
Resistance Bands,,Bicep Curls,Easy,Upper,,TRUE,10,"Stand on the band and grip the handles at your sides. Curl up toward your shoulders keeping elbows pinned, then lower with control."
Resistance Bands,,Glute Bridges,Easy,Lower,,TRUE,10,"Lie on your back with the band above your knees, feet flat on the floor. Drive your hips up, pressing your knees out against the band, then lower."
Resistance Bands,,Half-Kneeling Pallof Press,Intermediate,Core,Upper,TRUE,5 per side,"Kneel on one knee with the band anchored at chest height to one side. Press out with both hands, resisting rotation. Switch kneeling leg to work each side."
Resistance Bands,,Half-Kneeling Reverse Woodchop,Advanced,Core,Upper,TRUE,5 per side,"Kneel on one knee with the band anchored low to the front-leg side. Pull diagonally across your body from low to high, rotating your torso. The kneeling stance isolates the rotation."
Resistance Bands,,Kneeling Lateral Raises,Easy,Upper,,TRUE,10,"Kneel on both knees on the band, holding the handles at your sides. Raise your arms out to the sides until parallel with the floor. Removes momentum cheating."
Resistance Bands,,Kneeling Overhead Press,Intermediate,Upper,Core,TRUE,10,"Kneel on both knees on the band with handles at shoulder height. Press overhead to lockout. Removes leg drive and demands strict pressing form."
Resistance Bands,,Lateral Raises,Easy,Upper,,TRUE,10,"Stand on the band and hold the handles at your sides. Raise your arms out to the sides until parallel with the floor, then lower slowly."
Resistance Bands,,Lateral Walks,Easy,Lower,,TRUE,5 per side,"Place the band around your ankles or above your knees. In a half-squat position, step sideways maintaining tension in the band."
Resistance Bands,,Marches,Easy,Lower,Core,TRUE,5 per side,"Stand with the band around your feet or ankles. March in place, lifting each knee high against the band's resistance while maintaining upright posture."
Resistance Bands,,Overhead Press,Easy,Upper,Core,TRUE,10,"Stand on the band with handles at shoulder height. Press overhead to full lockout, then lower with control."
Resistance Bands,,Pallof Press,Intermediate,Core,Upper,TRUE,5 per side,"Anchor the band at chest height to one side. Hold with both hands at your chest, press straight out in front of you, resisting rotation, then return."
Resistance Bands,,Pull Apart,Easy,Upper,,TRUE,10,"Hold the band in front of you with both hands at shoulder height. Pull it apart by squeezing your shoulder blades together, then return with control."
Resistance Bands,,Reverse Woodchop,Advanced,Core,Upper,TRUE,5 per side,"Anchor the band low to one side. Grip with both hands and pull diagonally upward across your body from low to high, rotating your torso. Return with control."
Resistance Bands,,Side Plank Band Pulls,Intermediate,Core,Upper,TRUE,5 per side,"In a side plank with the band anchored low, pull the band upward with your top arm while maintaining a solid plank position."
Resistance Bands,,Squat,Easy,Lower,,TRUE,10,"Stand on the band with feet shoulder-width apart, handles at shoulders. Squat to depth, then drive up through your heels against the band resistance."
Resistance Bands,,Squat to Press,Intermediate,Full Body,Core,TRUE,10,"Stand on the band with handles at shoulder height. Squat down, then drive up and press the handles overhead in one fluid movement."
Resistance Bands,,Tricep Extensions,Easy,Upper,,TRUE,10,"Anchor the band high behind you. Face away, grip the band with both hands behind your head, then extend your arms overhead."
Stability Ball,Dumbbell,Chest Press,Intermediate,Upper,Core,TRUE,10,"Lie with your upper back on the stability ball, feet flat on the floor, holding dumbbells. Press them up over your chest, then lower with control."
Stability Ball,,Dead Bugs,Easy,Core,,TRUE,5 per side,"Lie on your back and squeeze the stability ball between one hand and the opposite knee. Extend the free arm and leg toward the floor, then switch sides."
Stability Ball,,Hamstring Curl,Intermediate,Lower,Core,TRUE,10,"Lie on your back with heels on the stability ball. Lift your hips, then curl the ball toward your glutes by bending your knees. Extend and repeat."
Stability Ball,,Hand to Feet Pass,Intermediate,Core,,TRUE,10,"Lie flat and hold the stability ball overhead. V-up to pass the ball from your hands to your feet, lower, then V-up again to pass it back."
Stability Ball,,Hip Thrusts,Intermediate,Lower,Core,TRUE,10,"Sit with your upper back on the stability ball, feet flat on the floor. Drive hips up to full extension, squeezing glutes, then lower."
Stability Ball,,Mountain Climbers,Intermediate,Core,Upper,TRUE,5 per side,"Place your hands on the stability ball in a plank position. Drive your knees alternately toward your chest while keeping the ball stable."
Stability Ball,Dumbbell,Pullovers,Intermediate,Upper,Core,TRUE,10,"Lie with your upper back on the stability ball holding a dumbbell overhead. Lower it behind your head with a slight elbow bend, then pull it back over."
Stability Ball,,Push-ups,Intermediate,Upper,Core,TRUE,10,"Place your hands on the stability ball and perform push-ups. The unstable surface increases core engagement throughout the movement."
Stability Ball,,Rollout,Advanced,Core,Upper,TRUE,10,"Kneel behind the stability ball with forearms resting on it. Roll forward by extending your arms, stretching your core, then pull back to the start."
Stability Ball,Dumbbell,Russian Twists,Advanced,Core,,TRUE,5 per side,"Sit on the stability ball holding a dumbbell, then walk your feet out until your upper back is supported on the ball. Rotate side to side with arms extended."
Stability Ball,,Stir The Pot,Intermediate,Core,Upper,TRUE,5 per side,"Place your forearms on the stability ball in a plank position. Move your forearms in small circles as if stirring a pot, keeping hips stable."
Step,Kettlebell,Step-ups,Intermediate,Lower,Core,TRUE,5 per side,"Hold a kettlebell at your chest. Place one foot fully on the step, drive up through that heel to stand on top, then lower back down. Alternate legs."
Step,,Step-ups,Intermediate,Lower,,TRUE,5 per side,"Place one foot fully on the step and drive up through that heel to stand on top. Lower back down with control. Alternate legs each rep."
Step,Dumbbell,Step-ups,Intermediate,Lower,Core,TRUE,5 per side,"Hold dumbbells at your sides. Place one foot fully on the step, drive up through that heel to stand on top, then lower back down. Alternate legs."
Sturdy Chair,,Dips,Intermediate,Upper,,TRUE,10,"Grip the edge of a sturdy chair behind you with straight legs extended. Lower yourself by bending your elbows to 90 degrees, then press back up."
Sturdy Chair,,Sit to Stand,Easy,Lower,,TRUE,10,"Sit on the edge of a sturdy chair with feet flat on the floor. Stand up using only your legs without pushing off with your hands, then sit back down with control."
