SOURCE,DOMAINS,NOTABLE WORKS,RELIABILITY,NOTES and CAUTIONS
Tom Dayspring,"Lipid Metabolism, Cardiovascular Health, Lipoprotein Science","Lipid and Lipoprotein Disorders (with William Cromwell), Published Research. Frequent podcast guest (The Drive with Peter Attia, The Peter Attia Show). X @drlipid. Clinical lipidologist and Fellow of the National Lipid Association.",VERY HIGH,"One of the world's foremost clinical lipidologists. Unmatched depth on lipoprotein science and cardiovascular risk. Highly technical — best used as facilitator background knowledge for understanding heart health rather than participant-facing content. His Attia podcast appearances are masterclasses in lipid science. Relevant background for Week 10 (recovery, longevity context) and general health literacy. No significant cautions — impeccably evidence-based."
Stuart Phillips,"Resistance Training, Protein, Muscle Physiology, Ageing, Women's Training, Exercise Science","Instagram @mackinprof, Published Research (McMaster University). Professor of Kinesiology and Canada Research Chair in Skeletal Muscle Health. 400+ published papers.",VERY HIGH,"One of the most published and cited researchers in exercise science worldwide. Leading authority on protein requirements, resistance training adaptations, and muscle health across the lifespan. His lab at McMaster (where Lauren Colenso-Semple also works) is world-class. Directly relevant to Week 8 (strength training, progressive overload, protein) and the evidence base for resistance training benefiting everyone. Accessible on social media despite enormous academic credentials. No significant cautions — gold-standard researcher."
Martin Seligman,"Positive Psychology, Wellbeing, Optimism, Resilience, Character Strengths","Flourish, Learned Optimism, Authentic Happiness, The Hope Circuit (memoir), Character Strengths and Virtues (with Christopher Peterson). Published Research (University of Pennsylvania). Former President of the American Psychological Association. Creator of PERMA model.",VERY HIGH,"The founder of positive psychology and creator of the PERMA model that structures this entire program. Learned Optimism is the basis for the pre-course and Week 16 optimism assessments. His character strengths work (with Peterson and the VIA Institute) underpins the VIA survey used from pre-course through Week 15. Former APA President with decades of rigorous published research. Foundational — the program cannot exist without this source. No significant cautions."
ISSA,"Resistance Training, Nutrition, Behaviour Change, Motivation, Exercise Science, Coaching","Certified Personal Trainer (CPT) certification, Transformation Specialist certification, Nutritionist certification, Exercise Therapy certification. International Sports Sciences Association.",VERY HIGH,"Accredited certification body for personal training and fitness professionals. ISSA CPT and Transformation Specialist are the basis for the program creator's fitness and behaviour change credentials. Directly referenced throughout the Body phase (Weeks 7–9), Fuel & Recovery (Weeks 10–14), and behaviour change modules. Transformation Specialist certification is particularly relevant — it bridges exercise science with motivation and coaching. Curriculum is well-structured and evidence-informed for applied practice. No significant cautions."
Phil Maffetone,"Aerobic Training, Exercise Physiology, Nutrition, Heart Rate Training, Endurance","The Big Book of Endurance Training and Racing, The Endurance Handbook, The Big Book of Health and Fitness, The Maffetone Method, The Overfat Pandemic, 1:59 (on Eliud Kipchoge). Published Research. DC (Doctor of Chiropractic). Coached Mark Allen (six-time Ironman World Champion).",VERY HIGH,"Pioneer of low-heart-rate aerobic training and the MAF (Maximum Aerobic Function) method. The 180-Age formula is directly taught in Week 9 as one practical approach for self-regulated aerobic training. The Maffetone Method is the preferred approach for beginners looking to start running or aerobic training. Coached some of the greatest endurance athletes in history. The revised course calendar frames MAF as 'one practical method' rather than the default, acknowledging that individualised HR zones may be more accurate for some — but the core principle that low-intensity aerobic work is foundational remains central to the program."
Steve House,"Aerobic Training, Mountaineering, Endurance Coaching","Training for the Uphill Athlete (with Scott Johnston & Kilian Jornet), Training for the New Alpinism (with Scott Johnston)",HIGH,"Respected alpinist and endurance coach. Practical, experience-based approach to aerobic development. Best used as applied coaching methodology alongside the physiology sources."
Kate Murphy,"Communication, Listening, Relationships","You're Not Listening: What You're Missing and Why It Matters",HIGH,"Well-researched journalism synthesising academic listening research. Excellent companion to the coaching and listening modules (Weeks 5–6). Not a primary researcher, but rigorous in sourcing."
James Nestor,"Breathwork, Health, Physiology","Breath: The New Science of a Lost Art",MEDIUM,"Investigative journalist. Engaging and awareness-raising, but some claims (mouth-taping, nasal breathing protocols) are contested by ENT and sleep specialists. Good for sparking interest, not for prescriptive protocols."
Yuval Noah Harari,"History, Anthropology, Philosophy","Sapiens: A Brief History of Humankind, Homo Deus, 21 Lessons for the 21st Century",HIGH,"Popular historian-philosopher. Excellent for big-picture context on human evolution and behaviour. Not a specialist in any single domain — uses broad strokes that specialists sometimes dispute. Best for framing, not technical detail."
Daniel H. Pink,"Motivation, Behavioral Science, Timing","Drive: The Surprising Truth About What Motivates Us, To Sell Is Human, When: The Scientific Secrets of Perfect Timing, A Whole New Mind",HIGH,"Good synthesiser of motivation research, particularly SDT. Drive is directly relevant to Week 2's motivation module. Populariser rather than primary researcher, but generally faithful to the science."
Robert Greene,"Strategy, Human Nature, Power Dynamics, Leadership","The Laws of Human Nature, Mastery, The 48 Laws of Power, The Art of Seduction, The 33 Strategies of War",MEDIUM,"Thought-provoking but ethically complex. Historical anecdotes used selectively. The Laws of Human Nature is the most relevant to this program. Some works (48 Laws, Art of Seduction) promote manipulative tactics — use as perspective on human behaviour, not as coaching guidance."
Ed Catmull,"Creativity, Leadership, Organisational Culture","Creativity, Inc. (with Amy Wallace)",HIGH,"Genuine leadership experience as co-founder of Pixar. Practical wisdom on psychological safety, creative collaboration, and honest feedback culture. Relevant to group dynamics and coaching environment."
Daniel Kahneman,"Psychology, Decision-Making, Behavioral Economics","Thinking, Fast and Slow. Nobel Prize in Economics (2002). Published Research.",VERY HIGH,"Nobel laureate. Foundational for understanding cognitive biases and dual-process thinking. Caution: some of the priming studies cited in the book have faced replication challenges, but the core System 1/System 2 framework remains robust and widely accepted."
Richard J. Johnson,"Metabolism, Nutrition, Obesity, Uric Acid","Nature Wants Us to Be Fat, The Fat Switch. Published Research (University of Colorado).",MEDIUM,"Legitimate researcher with an interesting fructose/uric acid hypothesis. Science is real but hypothesis-driven and not yet fully mainstream. Use for metabolic perspective, not as settled consensus."
Robert B. Cialdini,"Persuasion, Influence, Social Psychology","Influence: The Psychology of Persuasion, Pre-Suasion. Published Research (Arizona State University).",VERY HIGH,"Foundational work in persuasion psychology with well-replicated research. Relevant to coaching communication and understanding how influence operates in relationships. Classic and widely respected."
Katja Pantzar,"Wellbeing, Lifestyle, Cold Water, Nordic Culture","The Finnish Way: Finding Courage, Wellness, and Happiness Through the Power of Sisu",MEDIUM,"Journalist and memoirist, not a researcher. Inspirational perspective on Nordic wellbeing culture, cold-water practices, and 'sisu' (Finnish resilience). Journalistic, not scientific — use for cultural enrichment and perspective."
"Emily Nagoski, Amelia Nagoski","Burnout, Stress, Women's Health, Resilience","Burnout: The Secret to Unlocking the Stress Cycle. Emily Nagoski also authored Come As You Are.",HIGH,"Emily Nagoski has a PhD in Health Behavior. Evidence-based, particularly on the stress cycle and completing the stress response. Highly relevant to recovery, resilience, and the setbacks module (Week 11). Accessible and well-sourced."
Marion Franklin,"Coaching, Questioning Frameworks","The Heart of Laser-Focused Coaching: A Revolutionary Approach to Masterful Coaching",HIGH,"MCC (Master Certified Coach), ICF-credentialed. Respected coaching methodology with strong practical questioning frameworks. Directly relevant to coaching skill progression."
Marcia Reynolds,"Coaching, Leadership, Reflective Inquiry","Coach the Person, Not the Problem; The Discomfort Zone; Outsmart Your Brain",HIGH,"PsyD, MCC, past Global President of ICF. Global authority on reflective inquiry and emotional connection in coaching. Strong on coaching presence and evoking awareness."
David Goggins,"Mindset, Endurance, Mental Toughness","Can't Hurt Me, Never Finished",MEDIUM,"His story is inspiring and thought-provoking, but his approach is absolutely not for everyone, and toxic in some ways. Use with caution. The 'no excuses' ethos directly contradicts the program's 'Do What You Can' philosophy — useful as counterpoint, not model."
Laurence J. Peter,"Organisational Psychology, Management","The Peter Principle: Why Things Always Go Wrong (with Raymond Hull)",HIGH,"Classic organisational theory — the Peter Principle (people rise to their level of incompetence) is widely accepted and cited. Useful for understanding workplace dynamics. Not core to the program but good contextual reference."
Napoleon Hill,"Success, Mindset, Self-Help History","Think and Grow Rich, Outwitting the Devil, The Law of Success",LOW,"Historically influential in the self-help canon, but extensively debunked. Fabricated many claims about his relationship with Andrew Carnegie. No evidence-based foundation. Use only for historical context — not credible as a coaching or psychology source."
Mark Manson,"Mindset, Personal Development, Values, Stoicism","The Subtle Art of Not Giving a F*ck, Everything Is F*cked: A Book About Hope",MEDIUM,"Popular philosophy with accessible writing. Not research-based but draws thoughtfully on stoicism and existentialism. Good for provoking reflection on values and meaning. Counter-cultural tone may resonate with participants resistant to typical self-help. Not a researcher."
Michael Easter,"Comfort, Resilience, Evolutionary Mismatch, Movement","The Comfort Crisis, Scarcity Brain",HIGH,"Health journalist, well-researched. Draws on evolutionary biology, anthropology, and adventure experience. Relevant to the 'Do What You Can' philosophy and the evolutionary mismatch framing in Weeks 7 and 12. Engaging writer."
Viktor Frankl,"Meaning, Psychology, Resilience, Existentialism","Man's Search for Meaning",VERY HIGH,"Psychiatrist, neurologist, and Holocaust survivor. Foundational work in logotherapy and meaning-making. Directly relevant to PERMA's 'M' (Meaning) and the program's meaning-focused philosophy. Essential reading on resilience and purpose."
Marilee Adams,"Coaching, Mindset, Inquiry, Question Thinking","Change Your Questions, Change Your Life; Teaching That Changes Lives",HIGH,"PhD, coaching consultant. Created the Judger/Learner framework for shifting mindset through self-inquiry. Pairs well with ICF competencies and open questioning skills (Week 5). Practical and directly applicable."
Ben Bikman,"Metabolism, Insulin Resistance, Metabolic Health","Why We Get Sick: The Hidden Epidemic at the Root of Most Chronic Disease. Published Research (Brigham Young University).",MEDIUM,"Legitimate PhD researcher but tends toward insulin-centric explanations for nearly everything. Useful for metabolic literacy and understanding insulin resistance, but not the full picture. Best used alongside broader nutrition sources."
Christopher M. Palmer,"Psychiatry, Metabolism, Mental Health, Mitochondrial Function","Brain Energy: A Revolutionary Breakthrough in Understanding Mental Health. Published Research (Harvard Medical School).",MEDIUM,"Harvard psychiatrist with legitimate research credentials. Novel metabolic theory of mental illness linking mitochondrial dysfunction to psychiatric conditions. Promising but still emerging — not yet mainstream consensus. Use with appropriate caveats about the theory's stage of development."
Mark Hyman,"Nutrition, Functional Medicine","What the Heck Should I Eat, The Blood Sugar Solution, Young Forever, Food Fix",MEDIUM,"Some interesting principles, although some questionable assertions. Functional medicine lens brings commercial bias. Tends to overstate dietary interventions. Better as conversation-starter than authoritative source."
Kristin Neff,"Self-Compassion, Mindfulness, Psychology","Self-Compassion: The Proven Power of Being Kind to Yourself, Fierce Self-Compassion. Published Research (University of Texas at Austin).",VERY HIGH,"Already referenced prominently in Week 11 (setbacks) and throughout the self-compassion thread. Primary researcher on self-compassion with robust published evidence. Three-component model (self-kindness, common humanity, mindfulness) is well-validated. Essential source for this program."
Marshall Rosenberg,"Communication, Conflict Resolution, Empathy","Nonviolent Communication: A Language of Life",VERY HIGH,"Creator of NVC (Nonviolent Communication). Directly referenced in Week 6 as a primary framework. Foundational for the program's communication module. NVC is widely used in coaching, mediation, and education worldwide."
Lisa Feldman Barrett,"Emotion Science, Neuroscience, Psychology","How Emotions Are Made: The Secret Life of the Brain, Seven and a Half Lessons About the Brain. Published Research (Northeastern University).",VERY HIGH,"Leading researcher on constructed emotion theory and emotional granularity — already a core reference in Week 6. Her work on interoception is also referenced in Week 14. Rigorous, sometimes controversial among traditional emotion researchers, but well-supported."
Andrew Huberman,"Neuroscience, Sleep, Performance, Habits, Stress","Huberman Lab Podcast. Published Research (Stanford University).",MEDIUM,"Referenced in course for RAS (Week 3) and sleep protocols (Week 10). Legitimate Stanford neuroscientist, but recent personal controversies and a tendency to make strong protocol recommendations from limited evidence. Some supplement and protocol claims exceed the research. Use the peer-reviewed work, not the podcast opinions."
Chris Voss,"Negotiation, Tactical Empathy, Communication","Never Split the Difference: Negotiating as if Your Life Depended on It",HIGH,"Former FBI lead hostage negotiator. Tactical empathy, mirroring, and labelling techniques are woven into the coaching skill progression (Weeks 6–8). Practical and effective techniques, though originally designed for high-stakes negotiation — adapt the tone for coaching context."
Marc Brackett,"Emotional Intelligence, Education, Wellbeing","Permission to Feel: Unlocking the Power of Emotions to Help Our Kids, Ourselves, and Our Society Thrive. Published Research (Yale Center for Emotional Intelligence).",VERY HIGH,"Director of the Yale Center for Emotional Intelligence. Referenced in Week 6 (emotion naming). Created the RULER framework for emotional literacy. Rigorous researcher with practical educational applications. Highly relevant to emotional granularity work."
"James Prochaska, Carlo DiClemente","Stages of Change, Behavior Change, Psychology","Changing for Good (Prochaska). Published Research (Transtheoretical Model).",VERY HIGH,"Creators of the Transtheoretical Model (Stages of Change) — core to Week 4 and revisited in Week 11. One of the most influential behavior change frameworks in health psychology. Well-validated across multiple domains."
"Edward Deci, Richard Ryan","Motivation, Self-Determination Theory, Psychology","Intrinsic Motivation and Self-Determination in Human Behavior, Why We Do What We Do (Deci). Published Research (University of Rochester).",VERY HIGH,"Creators of Self-Determination Theory — core to Week 2 (motivation). Autonomy, competence, and relatedness framework is one of the most robust motivation theories in psychology. Extensively validated."
BJ Fogg,"Behavior Design, Habits, Behavior Change","Tiny Habits: The Small Changes That Change Everything. Published Research (Stanford University).",VERY HIGH,"Stanford behavior scientist. Tiny Habits method aligns closely with the program's 'too small to fail' micro-win philosophy. Not currently referenced in the course but a natural complement to Clear (Atomic Habits) and Wood (Good Habits, Bad Habits). Strong research foundation."
Russ Harris,"ACT, Values, Mindfulness, Psychological Flexibility","The Happiness Trap, The Confidence Gap, ACT Made Simple",HIGH,"Medical practitioner and ACT (Acceptance and Commitment Therapy) trainer. Strong on values clarification and psychological flexibility. Relevant to the values work in Weeks 1, 15, and throughout. Practical, evidence-informed, accessible."
Rick Rubin,"Creativity, Process, Presence, Listening","The Creative Act: A Way of Being",HIGH,"Legendary music producer (Johnny Cash, Beastie Boys, Red Hot Chili Peppers, Adele). The Creative Act is not about music — it's a philosophy of awareness, presence, and trusting your own process. Deeply aligned with the program's coaching ethos: listen before you act, trust what's emerging, stay open. Relevant to presence (Week 5), values (Weeks 1 & 15), and the 'Do What You Can' philosophy throughout. Not a researcher — a practitioner with extraordinary range."
Susan David,"Emotional Agility, Psychology, Wellbeing","Emotional Agility: Get Unstuck, Embrace Change, and Thrive in Work and Life. Published Research (Harvard Medical School).",VERY HIGH,"Harvard psychologist. Emotional agility — the ability to navigate emotions flexibly rather than suppressing or being consumed by them — is directly relevant to emotional granularity (Week 6), setbacks (Week 11), and the entire self-compassion thread. TED talk has 10M+ views. Complements Barrett and Brackett."
Kelly McGonigal,"Stress, Willpower, Movement, Psychology","The Willpower Instinct, The Upside of Stress, The Joy of Movement. Published Research (Stanford University).",HIGH,"Stanford health psychologist. The Joy of Movement makes a compelling case that movement is fundamentally tied to joy, social connection, and meaning — perfectly aligned with the Body phase (Weeks 7–9). The Upside of Stress reframes stress as potentially growth-promoting. Useful counterpoint to stress-is-toxic narratives."
Gabor Maté,"Trauma, Addiction, Mind-Body Connection, Compassion","When the Body Says No, In the Realm of Hungry Ghosts, The Myth of Normal (with Daniel Maté)",MEDIUM,"Physician with deep clinical experience in addiction and trauma. Powerful perspective on how emotional patterns manifest physically. Relevant to emotional eating (Week 14) and self-compassion. Caution: sometimes overstates causal claims and strays beyond evidence. Best used for perspective and compassion framing, not clinical authority."
Matthew Walker,"Sleep, Neuroscience, Performance","Why We Sleep: Unlocking the Power of Sleep and Dreams. Published Research (UC Berkeley).",MEDIUM,"Leading sleep researcher with legitimate credentials. Why We Sleep was hugely influential but has been criticised for overstatement, data errors, and alarmist framing (notably by Alexey Guzey's detailed critique). The core message — sleep matters enormously — is solid. Use the principles, not the specific statistics. Relevant to Week 10."
Angela Duckworth,"Grit, Perseverance, Psychology, Character","Grit: The Power of Passion and Perseverance. Published Research (University of Pennsylvania).",HIGH,"MacArthur Fellow and professor of psychology. Grit research is well-known though debated — critics argue it overlaps substantially with conscientiousness and underweights systemic barriers. Relevant to the motivation and persistence threads but use alongside the program's compassion-first approach, not as 'just push harder' framing."
Jon Kabat-Zinn,"Mindfulness, Stress Reduction, Mind-Body Medicine","Full Catastrophe Living, Wherever You Go There You Are. Published Research (UMass Medical School).",VERY HIGH,"Creator of Mindfulness-Based Stress Reduction (MBSR). Foundational figure in bringing mindfulness into medicine and mainstream wellbeing. Relevant to mindful eating (Week 14), recovery (Week 10), self-compassion, and presence throughout the coaching modules. Extensively validated clinical outcomes."
Tara Brach,"Mindfulness, Self-Compassion, Emotional Healing","Radical Acceptance, Radical Compassion, True Refuge. PhD in Clinical Psychology.",HIGH,"Clinical psychologist and meditation teacher. RAIN framework (Recognize, Allow, Investigate, Nurture) is a practical self-compassion tool. Complements Kristin Neff's work and is applicable to the setbacks module (Week 11) and emotional relationship with food (Week 14). Bridges contemplative practice and clinical psychology."
Stephen Porges,"Polyvagal Theory, Nervous System, Safety, Co-Regulation","The Polyvagal Theory, The Pocket Guide to the Polyvagal Theory. Published Research (Indiana University).",MEDIUM,"Creator of Polyvagal Theory — influential in understanding how the nervous system mediates safety, connection, and threat responses. Relevant to psychological safety (Week 1), coaching presence, and stress-recovery (Week 10). Caution: Polyvagal Theory is widely used in therapy circles but has faced scientific criticism for oversimplifying neuroscience. Use the practical wisdom about safety and co-regulation, not the specific neural pathway claims."
Bessel van der Kolk,"Trauma, Embodiment, Mind-Body Connection","The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma. Published Research (Boston University).",MEDIUM,"Pioneering trauma researcher. The Body Keeps the Score is enormously influential on understanding how the body holds stress and emotional experience. Relevant to movement foundations (Week 7) and embodiment throughout. Caution: some institutional controversies, and the book can lead participants toward self-diagnosis. The program is not therapy — reference the body-awareness principles, not trauma treatment."
Dan Siegel,"Interpersonal Neurobiology, Mindfulness, Mental Health","Mindsight, The Whole-Brain Child, Aware. Published Research (UCLA).",HIGH,"Clinical professor of psychiatry at UCLA. Created the 'Window of Tolerance' concept and interpersonal neurobiology framework. Relevant to emotional regulation, coaching presence, and understanding how stress affects capacity. Practical and well-regarded in coaching and therapy circles."
Liz Wiseman,"Leadership, Coaching, Multiplying Talent","Multipliers: How the Best Leaders Make Everyone Smarter, Impact Players, Rookie Smarts",HIGH,"Leadership researcher. Multipliers framework — how some leaders amplify the intelligence around them while others diminish it — is directly applicable to peer coaching dynamics and group facilitation. Relevant to the coaching environment and how participants show up for each other."
Ryan Holiday,"Stoicism, Resilience, Self-Discipline, Philosophy","The Obstacle Is the Way, Ego Is the Enemy, Stillness Is the Key, The Daily Stoic, Discipline Is Destiny",HIGH,"Populariser of Stoic philosophy with accessible, practical writing. The Obstacle Is the Way reframes adversity as opportunity — relevant to setbacks (Week 11). Stillness Is the Key connects to presence and recovery. Not a philosopher or researcher, but faithful to the source material and practically useful."
